Date,GLD,LQD
2016-01-04,100.0,100.0
2016-01-05,100.282,100.053
2016-01-06,101.73,100.448
2016-01-07,103.168,100.527
2016-01-08,102.712,100.606
2016-01-11,101.798,100.281
2016-01-12,101.283,100.509
2016-01-13,101.779,100.816
2016-01-14,100.126,100.316
2016-01-15,101.157,100.167
2016-01-19,101.059,99.719
2016-01-20,102.41,99.868
2016-01-21,102.527,99.579
2016-01-22,102.051,99.64
2016-01-25,103.1,99.535
2016-01-26,104.276,99.816
2016-01-27,104.665,99.544
2016-01-28,103.547,99.658
2016-01-29,103.946,100.176
2016-02-01,105.015,99.856
2016-02-02,105.054,100.041
2016-02-03,106.181,99.794
2016-02-04,107.464,99.838
2016-02-05,109.165,99.821
2016-02-08,110.633,100.34
2016-02-09,110.39,99.997
2016-02-10,111.245,100.12
2016-02-11,115.716,100.455
2016-02-12,115.035,99.891
2016-02-16,111.546,99.416
2016-02-17,112.236,99.39
2016-02-18,114.967,100.199
2016-02-19,114.277,100.129
2016-02-22,112.246,100.331
2016-02-23,113.927,100.534
2016-02-24,114.307,100.631
2016-02-25,114.608,101.194
2016-02-26,113.821,101.159
2016-02-29,115.308,101.229
2016-03-01,114.462,100.677
2016-03-02,115.346,100.88
2016-03-03,117.339,101.357
2016-03-04,117.154,101.339
2016-03-07,117.737,101.454
2016-03-08,117.193,101.993
2016-03-09,116.221,101.878
2016-03-10,118.087,102.302
2016-03-11,116.056,102.593
2016-03-14,114.559,102.893
2016-03-15,114.647,102.858
2016-03-16,117.203,103.352
2016-03-17,116.756,103.67
2016-03-18,116.435,103.908
2016-03-21,115.619,103.785
2016-03-22,115.959,103.59
2016-03-23,113.335,104.111
2016-03-24,113.062,104.067
2016-03-28,113.325,104.129
2016-03-29,115.424,104.597
2016-03-30,113.811,104.473
2016-03-31,114.336,104.888
2016-04-01,113.646,105.226
2016-04-04,112.888,105.235
2016-04-05,114.355,105.571
2016-04-06,113.655,105.483
2016-04-07,115.278,105.766
2016-04-08,115.104,105.527
2016-04-11,116.659,105.518
2016-04-12,116.678,105.102
2016-04-13,115.434,105.465
2016-04-14,113.821,105.394
2016-04-15,114.608,105.837
2016-04-18,114.433,105.952
2016-04-19,116.221,106.147
2016-04-20,115.628,105.855
2016-04-21,116.066,105.81
2016-04-22,114.579,105.926
2016-04-25,114.909,105.678
2016-04-26,115.366,105.633
2016-04-27,115.696,106.306
2016-04-28,117.883,106.404
2016-04-29,120.177,106.519
2016-05-02,119.778,106.381
2016-05-03,119.506,106.567
2016-05-04,118.777,106.39
2016-05-05,118.641,106.603
2016-05-06,119.72,106.372
2016-05-09,117.261,106.266
2016-05-10,117.582,106.443
2016-05-11,118.69,106.559
2016-05-12,117.757,106.337
2016-05-13,118.291,106.532
2016-05-16,118.379,106.177
2016-05-17,118.787,106.141
2016-05-18,116.727,105.236
2016-05-19,116.503,105.485
2016-05-20,116.348,105.556
2016-05-23,116.017,105.556
2016-05-24,114.005,105.378
2016-05-25,113.694,105.565
2016-05-26,113.305,105.866
2016-05-27,112.372,105.786
2016-05-31,112.8,105.973
2016-06-01,112.683,106.048
2016-06-02,112.421,106.261
2016-06-03,115.541,107.116
2016-06-06,115.58,106.858
2016-06-07,115.483,107.018
2016-06-08,117.193,107.374
2016-06-09,117.844,107.525
2016-06-10,118.321,107.65
2016-06-13,119.195,107.49
2016-06-14,119.322,107.249
2016-06-15,120.206,107.65
2016-06-16,118.943,107.81
2016-06-17,120.468,107.49
2016-06-20,119.749,107.356
2016-06-21,117.446,107.258
2016-06-22,117.504,107.454
2016-06-23,116.736,107.347
2016-06-24,122.461,107.854
2016-06-27,123.122,108.308
2016-06-28,121.8,108.905
2016-06-29,122.305,108.869
2016-06-30,122.918,109.252
2016-07-01,124.803,109.824
2016-07-05,125.833,110.199
2016-07-06,126.572,110.395
2016-07-07,126.096,110.413
2016-07-08,126.854,111.029
2016-07-11,125.658,110.743
2016-07-12,123.579,110.119
2016-07-13,124.716,110.547
2016-07-14,123.754,110.279
2016-07-15,123.277,109.86
2016-07-18,123.472,109.86
2016-07-19,123.637,110.056
2016-07-20,121.868,110.02
2016-07-21,123.724,110.145
2016-07-22,122.801,110.083
2016-07-25,121.946,110.02
2016-07-26,122.461,109.913
2016-07-27,124.434,110.368
2016-07-28,124.074,110.261
2016-07-29,125.357,110.663
2016-08-01,125.59,110.039
2016-08-02,126.611,109.422
2016-08-03,126.008,109.565
2016-08-04,126.222,110.03
2016-08-05,123.967,109.583
2016-08-08,123.86,109.655
2016-08-09,124.366,110.299
2016-08-10,124.949,110.612
2016-08-11,124.084,110.245
2016-08-12,123.822,110.746
2016-08-15,124.249,110.406
2016-08-16,124.862,110.209
2016-08-17,124.891,110.514
2016-08-18,125.484,110.782
2016-08-19,124.376,110.451
2016-08-22,124.191,110.827
2016-08-23,124.171,110.952
2016-08-24,122.791,110.881
2016-08-25,122.684,110.773
2016-08-26,122.509,110.424
2016-08-29,122.752,111.05
2016-08-30,121.518,110.907
2016-08-31,121.275,110.863
2016-09-01,121.771,110.863
2016-09-02,123.015,110.665
2016-09-06,125.095,111.051
2016-09-07,124.667,110.899
2016-09-08,124.006,110.118
2016-09-09,123.19,109.293
2016-09-12,123.034,109.302
2016-09-13,122.218,108.943
2016-09-14,122.636,109.014
2016-09-15,121.849,109.086
2016-09-16,121.547,109.212
2016-09-19,121.8,109.176
2016-09-20,121.917,109.319
2016-09-21,123.695,109.876
2016-09-22,123.987,110.324
2016-09-23,124.065,110.243
2016-09-26,123.967,110.414
2016-09-27,123.063,110.683
2016-09-28,122.675,110.755
2016-09-29,122.529,110.71
2016-09-30,122.111,110.513
2016-10-03,121.8,110.2
2016-10-04,117.572,109.687
2016-10-05,117.388,109.57
2016-10-06,116.299,109.579
2016-10-07,116.377,109.84
2016-10-10,116.785,109.84
2016-10-11,116.192,109.498
2016-10-12,116.377,109.642
2016-10-13,116.659,109.912
2016-10-14,116.007,109.399
2016-10-17,116.318,109.759
2016-10-18,117.038,110.029
2016-10-19,117.708,110.173
2016-10-20,117.349,110.137
2016-10-21,117.436,110.2
2016-10-24,117.174,109.885
2016-10-25,118.058,109.804
2016-10-26,117.397,109.345
2016-10-27,117.611,108.85
