Date,AAPL,TSLA
2026-05-01,100.0,100.0
2026-05-04,98.818,100.432
2026-05-05,101.442,99.629
2026-05-06,102.631,102.024
2026-05-07,102.606,105.366
2026-05-08,104.705,109.603
2026-05-11,104.573,113.863
2026-05-12,105.33,110.908
2026-05-13,106.784,113.932
2026-05-14,106.548,113.428
2026-05-15,107.27,108.04
2026-05-18,106.416,104.905
2026-05-19,106.82,103.401
2026-05-20,107.992,106.765
2026-05-21,108.971,106.916
2026-05-22,110.339,109.004
2026-05-26,110.164,110.944
2026-05-27,111.065,112.676
2026-05-28,111.658,113.121
2026-05-29,111.497,111.507
